
path = /Users/lap13494/workspace/ppl-extra-final/java-small/test/hadoop-splitted/AccessControlList_addUser_0.java
method_name = addUser
method_body = public void addUser(String user) { if (isWildCardACLValue(user)) { throw new IllegalArgumentException("User " + user + " can not be added"); } if (!isAllAllowed()) { users.add(user); } }
predict, score, loss = addUser, 0.8996989727020264, 0.4971736669540405

Trace of simplified code(s):
{"time": "2023-09-24 01:45:34.957357", "score": "0.8997", "loss": "0.4972", "code": "public void addUser(String user) { if (isWildCardACLValue(user)) { throw new IllegalArgumentException(\"User \" + user + \" can not be added\"); } if (!isAllAllowed()) { users.add(user); } }", "n_tokens": 78, "n_pass": [1, 1, 1]}
{"time": "2023-09-24 01:45:37.168862", "score": "0.8946", "loss": "0.7333", "code": "public void addUser(String user) { if (isWildCardACLValue(user)) {IllegalArgumentException(\"User \" + user + \" can not be added\"); } if (!isAllAllowed()) { users.add(user); } }", "n_tokens": 73, "n_pass": [49, 2, 2]}
{"time": "2023-09-24 01:45:38.934614", "score": "0.9246", "loss": "0.503", "code": "public void addUser(String user) { if (isWildCardACLValue(user)) {IllegalArgumentException(\"User \" + user + \"  added\"); } if (!isAllAllowed()) { users.add(user); } }", "n_tokens": 68, "n_pass": [53, 3, 3]}
{"time": "2023-09-24 01:45:40.773501", "score": "0.6356", "loss": "1.8568", "code": "public void addUser(String user) { if (isWildCardACLValue(user)) {IllegalArgumentException(\"User \" + user + \"  added\"); } if (!isAllAllowed()) { users; } }", "n_tokens": 63, "n_pass": [58, 4, 4]}
{"time": "2023-09-24 01:45:45.181059", "score": "0.6356", "loss": "1.8568", "code": "void addUser(String user) { if (isWildCardACLValue(user)) {IllegalArgumentException(\"User \" + user + \"  added\"); } if (!isAllAllowed()) { users; } }", "n_tokens": 61, "n_pass": [100, 6, 5]}
{"time": "2023-09-24 01:45:46.964322", "score": "0.6284", "loss": "1.9644", "code": "void addUser(String user) { if (isWildCardACLValue(user)) {IllegalArgumentException(\"\" + user + \"  added\"); } if (!isAllAllowed()) { users; } }", "n_tokens": 59, "n_pass": [112, 7, 6]}
{"time": "2023-09-24 01:45:56.420110", "score": "0.6284", "loss": "1.9644", "code": "void addUser(String user) { if (isWildCardACLValue(user)) {IllegalArgumentException(\"\"+ user + \"  added\"); } if (!isAllAllowed()) { users; } }", "n_tokens": 58, "n_pass": [186, 10, 7]}
{"time": "2023-09-24 01:45:58.120972", "score": "0.6284", "loss": "1.9644", "code": "void addUser(String user) { if (isWildCardACLValue(user)) {IllegalArgumentException(\"\"+user + \"  added\"); } if (!isAllAllowed()) { users; } }", "n_tokens": 57, "n_pass": [188, 11, 8]}
{"time": "2023-09-24 01:46:01.604752", "score": "0.6284", "loss": "1.9644", "code": "void addUser(String user) { if (isWildCardACLValue(user)) {IllegalArgumentException(\"\"+user+ \"  added\"); } if (!isAllAllowed()) { users; } }", "n_tokens": 56, "n_pass": [190, 13, 9]}
{"time": "2023-09-24 01:46:03.323956", "score": "0.6284", "loss": "1.9644", "code": "void addUser(String user) { if (isWildCardACLValue(user)) {IllegalArgumentException(\"\"+user+\"  added\"); } if (!isAllAllowed()) { users; } }", "n_tokens": 55, "n_pass": [192, 14, 10]}
{"time": "2023-09-24 01:46:05.038944", "score": "0.6284", "loss": "1.9644", "code": "void addUser(String user) { if (isWildCardACLValue(user)) {IllegalArgumentException(\"\"+user+\" added\"); } if (!isAllAllowed()) { users; } }", "n_tokens": 54, "n_pass": [194, 15, 11]}
{"time": "2023-09-24 01:46:06.737071", "score": "0.6284", "loss": "1.9644", "code": "void addUser(String user) { if (isWildCardACLValue(user)) {IllegalArgumentException(\"\"+user+\"added\"); } if (!isAllAllowed()) { users; } }", "n_tokens": 53, "n_pass": [195, 16, 12]}
